drug_name,atc,summary,Persistence,Bioaccumulation,Toxicity,Risk
abacavir,J05AF06,SummaryThis summary information comes from Fass, Abacavir is potentially persistent, Abacavir has low potential for bioaccumulation, Abacavir has low chronic toxicity, The use of abacavir (sales data Sweden 2019) has been considered to result in insignificant environmental risk
abatacept,L04AA24,SummaryHazard - , - , - , - , Exempt
abciximab,B01AC13,SummaryHazard - , - , - , - , Exempt
abiraterone,L02BX03,SummaryHazard 6 , 0 , 3 , 3 , High 
acamprosate,N07BB03,Summary, Acamprosate is potentially persistent, Acamprosate has low potential for bioaccumulation," Acamprosate has low acute toxicity. See comment about this under ""Detailed information""", The use of acamprosate (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass
acarbose,A10BF01,SummaryHazard 3* , 3 , 0 , 0* , Cannot be excluded 
acetazolamide,S01EC01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
acetylcysteine,R05CB01,SummaryHazard - , - , 0 , - , Cannot be excluded 
acetylsalicylicacid,N02BA01,SummaryThis summary information comes from Fass (Bayer), Acetylsalicylic acid is degraded in the environment, Acetylsalicylic acid has low potential for bioaccumulation, Acetylsalicylic acid has moderate chronic toxicity, The use of acetylsalicylic acid (sales data Sweden 2018) has been considered to result in low environmental risk
aciclovir,D06BB03,Summary, Aciclovir is potentially persistent, Aciclovir has low potential for bioaccumulation, Aciclovir has low chronic toxicity, The use of aciclovir (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass for Geavir (aciclovir)
acitretin,D05BB02,SummaryThis summary information comes from Fass, No data, No data, No data, Cannot be excluded since no ecotoxicity data are available. Environmental data are missing on fass.se (2020-12-07). It is voluntary for manufacturers to provide information about environmental impact on fass.se
adalimumab,L04AB04,"SummaryRisk. Use of amino acids, proteins and peptides is not considered to cause any environmental impact. This summary information comes from Fass and corresponding information can be found in assessment reports.",see summary,see summary,see summary,see summary
adapalene,D10AD03,Summary," It cannot be excluded that adapalene is persistent, due to the lack of data"," It cannot be excluded that adapalene bioaccumulates, due to the lack of data"," It cannot be excluded that adapalene is toxic, due to the lack of data", 
afatinib,L01XE13,SummaryHazard 2* , 0 , 0 , 2* , Insignificant
aflibercept,S01LA05,SummaryHazard - , - , - , - , See below
alemtuzumab,L04AA34,SummaryHazard - , - , - , - , See below
alendronicacid,M05BA04,Summary, Alendronic acid is slowly degraded in the environment, Alendronic acid has low potential for bioaccumulation, Alendronic acid has low chronic toxicity, The use of alendronic acid (sales data Sweden 2019) has been considered to result in insignificant environmental risk.This summary information comes from Fass
alfacalcidol,A11CC03,SummaryHazard - , - , - , - , Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHM
alfentanil,N01AH02,SummaryEnvironmental information for the substance is not available on fass.se (2021-12-08). It is voluntary for manufacturers to publish environmental impact information on Fass.se.,see summary,see summary,see summary,see summary
alfuzosin,G04CA01,SummaryThis summary information comes from Fass," It cannot be excluded that alfuzosin is persistent, due to the lack of data. Alfuzosin has been found in the Swedish aquatic environment, see further the references", Alfuzosin has low potential for bioaccumulation, Alfuzosin has moderate acute toxicity, The use of alfuzosin (sales data Sweden 2018) has been considered to result in insignificant environmental risk
alginicacid,A02BX13,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
