drug_name,atc,uncertainty_atc_match,summary
abacavir,J05AF06,False,SummaryThis summary information comes from Fass.Persistence. Abacavir is potentially persistent.Bioaccumulation. Abacavir has low potential for bioaccumulation.Toxicity. Abacavir has low chronic toxicity.Risk. The use of abacavir (sales data Sweden 2019) has been considered to result in insignificant environmental risk.
abatacept,L04AA24,False,SummaryHazard - P - B - T - Risk Exempt
abciximab,B01AC13,False,SummaryHazard - P - B - T - Risk Exempt
abiraterone,L02BX03,False,"SummaryHazard 6 P 0 B 3 T 3 Risk High The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B and T comes from assessment report för Zytiga (abirateron), see below. The risk comes from Fass.se."
acamprosate,N07BB03,False,"SummaryPersistence. Acamprosate is potentially persistent.Bioaccumulation. Acamprosate has low potential for bioaccumulation.Toxicity. Acamprosate has low acute toxicity. See comment about this under ""Detailed information"".Risk. The use of acamprosate (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass."
acarbose,A10BF01,False,SummaryHazard 3* P 3 B 0 T 0* Risk Cannot be excluded 
acetazolamide,S01EC01,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
acetylcysteine,R05CB01,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
acetylsalicylicacid,N02BA01,False,SummaryThis summary information comes from Fass (Bayer).Persistence. Acetylsalicylic acid is degraded in the environment.Bioaccumulation. Acetylsalicylic acid has low potential for bioaccumulation.Toxicity. Acetylsalicylic acid has moderate chronic toxicity.Risk. The use of acetylsalicylic acid (sales data Sweden 2018) has been considered to result in low environmental risk.
aciclovir,D06BB03,False,SummaryPersistence. Aciclovir is potentially persistent.Bioaccumulation. Aciclovir has low potential for bioaccumulation.Toxicity. Aciclovir has low chronic toxicity.Risk. The use of aciclovir (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass for Geavir (aciclovir).
acitretin,D05BB02,False,SummaryThis summary information comes from Fass.Persistence. No data.Bioaccumulation. No data.Toxicity. No data.Risk. Cannot be excluded since no ecotoxicity data are available. Environmental data are missing on fass.se (2020-12-07). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
adalimumab,L04AB04,False,"SummaryRisk. Use of amino acids, proteins and peptides is not considered to cause any environmental impact. This summary information comes from Fass and corresponding information can be found in assessment reports."
adapalene,D10AD03,False,"SummaryPersistence. It cannot be excluded that adapalene is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that adapalene bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that adapalene is toxic, due to the lack of data.Risk. Risk of environmental impact of adapalene cannot be excluded, due to the lack of environmental toxicity data. Environmental information is missing on fass.se for adapalene (2022-06-30). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
aflibercept,S01LA05,False,SummaryHazard - P - B - T - Risk See below
alemtuzumab,L04AA34,False,SummaryHazard - P - B - T - Risk See below
alendronicacid,M05BA04,False,SummaryPersistence. Alendronic acid is slowly degraded in the environmentBioaccumulation. Alendronic acid has low potential for bioaccumulation.Toxicity. Alendronic acid has low chronic toxicity.Risk. The use of alendronic acid (sales data Sweden 2019) has been considered to result in insignificant environmental risk.This summary information comes from Fass.
alfacalcidol,A11CC03,False,"SummaryHazard - P - B - T - Risk Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHMP/SWP/4447/00),vitamins, electrolytes, amino acids, peptides, proteins, carbohydrates, lipids proteins, vaccines and herbal medicinal products are exempted because they are unlikely to result in significant risk to the environment."
alfentanil,N01AH02,False,SummaryEnvironmental information for the substance is not available on fass.se (2021-12-08). It is voluntary for manufacturers to publish environmental impact information on Fass.se.
alfuzosin,G04CA01,False,"SummaryThis summary information comes from Fass.Persistence. It cannot be excluded that alfuzosin is persistent, due to the lack of data. Alfuzosin has been found in the Swedish aquatic environment, see further the references.Bioaccumulation. Alfuzosin has low potential for bioaccumulation.Toxicity. Alfuzosin has moderate acute toxicity.Risk. The use of alfuzosin (sales data Sweden 2018) has been considered to result in insignificant environmental risk."
alginicacid,A02BX13,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
alimemazine,R06AD01,False,SummaryHazard 9* P 3 B 3* T 3* Risk See below
allopurinol,M04AA01,False,SummaryPersistence. Allopurinol is potentially persistent.Bioaccumulation. Allopurinol has low potential for bioaccumulation.Toxicity. Allopurinol has very high acute toxicity.Risk. The use of allopurinol (sales data Sweden 2021) has been considered to result in moderate environmental risk. This summary information comes from Fass.
almotriptan,N02CC05,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
alprazolam,N05BA12,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
alprostadil,G04BE01,False,"SummaryPersistence. It cannot be excluded that alprostadil is persistent, due to the lack of data.Bioaccumulation. Alprostadil has low potential for bioaccumulation.Toxicity. It cannot be excluded that alprostadil is toxic, due to the lack of data.Risk. Risk of environmental impact of alprostadil cannot be excluded, due to the lack of environmental toxicity data.  This summary information comes from Fass."
alteplase,B01AD02,False,"SummaryAlteplase is a glucoprotein. Risk. The use of amino acids, proteins and peptides is not considered to have any environmental impact. This summary information comes from Fass."
ambenonium,N07AA30,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
ambroxol,R05CB06,False,SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant 
amikacin,J01GB06,False,"SummaryPersistence. Amikacin is very persistent (vP).Bioaccumulation. Amikacin has low potential for bioaccumulation.Toxicity. Amikacin has very high chronic toxicity.Risk. ""Toxicity is reported as much lower as assessed in appropriately conducted studies as per OECD 210 and 211. PEC/PNEC comparisons do not indicate amikacin as posing a threat to the environment. However, due to the concern raised on the conduct of the OECD 201 study which was shown to be the most sensitive to the effects of amikacin, available data do not allow to conclude definitively on the potential risk of amikacin to the environment."" This summary information comes from assessment report for Arikayce liposomal (amikacin). Environmental information is missing on fass.se for amikacin (2023-10-24). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
aminolevulinicacid,L01XD04,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
amiodarone,C01BD01,False,SummaryPersistence. Amiodarone is potentially persistent.Bioaccumulation. Amiodarone has high potential for bioaccumulation.Toxicity. Amiodarone has high chronic toxicity.Risk. The use of amiodarone (sales data Sweden 2021) has been considered to result in insignificant environmental risk. This summary information comes from Fass.
amitriptyline,N06AA09,False,"SummaryPersistence. It cannot be excluded that amitriptyline is persistent, due to the lack of data.Bioaccumulation. Amitriptyline has a high potential to bioaccumulate.Toxicity. It cannot be excluded that amitriptyline is toxic, due to the lack of data.Risk. Risk of environmental impact of amitriptyline cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass. It is voluntary for manufacturers to provide information on environmental impact on fass.se.Amitriptyline's major metabolite is nortriptyline. See also nortriptyline."
amlodipine,C08CA01,False,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The risk comes from the report of Goodpoint. Persistence. Amlodipine is degraded in the environment.Bioaccumulation. Amlodipine has low potential for bioaccumulation.Toxicity. Amlodipine has high chronic toxicity.Risk. See the report from Goodpoint below."
amorolfine,D01AE16,False,"SummaryPersistence. It cannot be excluded that amorolfine is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that amorolfine bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that amorolfine is toxic, due to the lack of data.Risk. Risk of environmental impact of amorolfine cannot be excluded, due to the lack of environmental toxicity data. Environmental information is missing on fass.se for amorolfine (2022-06-30). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
amoxicillin,J01CA04,False,"SummaryPersistence. Amoxicillin is potentially persistent.Bioaccumulation. Amoxicillin has low potential for bioaccumulation.Toxicity. Amoxicillin has a very high chronic toxicity.Risk. Risk for selection of antibiotic resistance.Environmental information for amoxicillin is missing on fass.se (2022-11-16). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on persistence, bioaccumulation and toxicity is based on previous environmental information in Fass from 2015. For risk, see the environmental assessment from Goodpoint.Suggestions on how to reduce emissions of amoxicillin"
amphotericinb,J02AA01,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
ampicillin,J01CA01,False,"SummaryPersistence. It cannot be excluded that ampicillin is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that ampicillin bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that ampicillin is toxic, due to the lack of data.Risk. Risk of environmental impact of ampicillin cannot be excluded, due to the lack of environmental toxicity data. Environmental information is missing on fass.se for ampicillin (2023-10-24). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
amsacrine,L01XX01,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
